domestic_investment,inflation,remittances,stock_market,growth,openning_commercial_rate,exchange_rate,countries,year
24.104708994653716,-1.9179199636912372,22.558901441737078,24.94948494080651,7.813103691098086,7.632317367,1.7128160601182714,Maroc,2009
24.075858372057432,-0.024680378165375334,22.583079753298186,24.959574407968372,7.837656621103076,7.605500235,1.7266773191065763,Maroc,2010
24.1867130932981,1.8104143642980162,22.7051373949929,24.819074160680064,7.875291896972225,7.629075427,1.7805009378068752,Maroc,2011
24.19001966059694,-0.9960505658585196,22.59628347306255,24.68369493279711,7.890973841114994,7.651097688,1.8010591483542795,Maroc,2012
24.21657593776707,0.2679578494031825,22.652131545580055,24.70912240545298,7.921117982828082,7.660708822,1.9272114122477708,Maroc,2013
24.21554360510773,-0.9733649740272868,22.775939162657078,24.688768943955374,7.933338300125216,7.638283324,1.9569360767771293,Maroc,2014
24.08028995201542,0.755675046082482,22.65530068745518,24.55033904795341,7.963897683177011,7.63139102,2.040084402510949,Maroc,2015
24.158086486459695,0.3941729274203339,22.57697828201572,24.776436239651538,7.961026963402709,7.590115937,2.305121951445861,Maroc,2016
24.169650413817326,-0.454222670180972,22.64356540521669,24.928681776767622,7.989632350318145,17.52553614,2.8782167126230536,Maroc,2017
24.23576380310229,0.0858418337322871,22.657597780472564,24.83546308735283,8.00791045334193,17.50150778,2.8773591499549576,Maroc,2018
25.04973100393994,3.278860707907283,22.32245137291616,25.39394713345365,8.95745964412109,7.653860173,3.5857022014575812,Mexique,1996
25.32156564627712,2.9309200771432784,22.436306721463062,25.776928755372182,9.008091520801983,7.639503829,3.7162884958189406,Mexique,1997
25.433072626675095,2.7362932699476685,22.595259687785074,25.242287546266553,9.043280879339186,7.613810793,3.807698989529916,Mexique,1998
25.56547863548047,2.7789943527896477,22.617675930691735,25.760503333838688,9.055682046235699,7.587921835,3.901986640790178,Mexique,1999
25.74794405940316,2.4116373362304238,22.741462491516312,25.553208886198824,9.089513033266206,7.594650842,3.98244766608228,Mexique,2000
25.73948264315207,1.7986506892615621,23.04037129730039,25.561596279136698,9.071421334635458,7.619744211,4.125958882638584,Mexique,2001
25.725737573822737,1.705359881770864,23.123834632695235,25.36709071054093,9.057292601837483,7.639035574,4.089730294008415,Mexique,2002
25.69479587816214,1.3961099228433214,23.535897434932224,25.5316458919652,9.05801502302989,7.69910846,4.056157923176517,Mexique,2003
